Number,Album,Year,Song,LisaAverage,LisaPercent,StevenAverage,StevenPercent
1,Introducing the Beatles,1964,Total,0.75,0.25,0.67,0.42
2,Meet the Beatles,1964,Total,1.08,0.42,0.92,0.33
3,A Hard Day's Night,1964,Total,0.58,0.17,0.92,0.17
4,Beatles '65,1965,Total,1.09,0.45,1.9,0.55
5,Beatles VI,1965,Total,1,0.45,0.45,0.09
6,Help!,1965,Total,2.07,0.71,2.29,0.57
7,Rubber Soul,1965,Total,0.71,0.29,0.07,0.07
8,Revolver,1966,Total,2,0.57,2.5,0.5
9,Sgt. Pepper's Lonely Hearts Club Band,1967,Total,0.71,0.43,1.29,0.43
10,Magical Mystery Tour,1967,Total,2.36,0.64,3.45,0.82
11,"The Beatles (""The White Album"") Disc 1",1968,Total,1.88,0.65,1.53,0.47
12,"The Beatles (""The White Album"") Disc 2",1968,Total,1.69,0.85,1.92,0.62
