Month,President,Party,MQScore,Justice,Value
Dec-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Dec-10,Obama,Dem,J2MQ,R Ginsburg,-1.731
Dec-10,Obama,Dem,J3MQ,E Kagan,-1.5824
Dec-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Dec-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Dec-10,Obama,Dem,J6MQ,J Roberts,0.9303
Dec-10,Obama,Dem,J7MQ,S Alito,1.8167
Dec-10,Obama,Dem,J8MQ,A Scalia,2.5145
Dec-10,Obama,Dem,J9MQ,C Thomas,3.6037
Nov-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Nov-10,Obama,Dem,J2MQ,R Ginsburg,-1.731
Nov-10,Obama,Dem,J3MQ,E Kagan,-1.5824
Nov-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Nov-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Nov-10,Obama,Dem,J6MQ,J Roberts,0.9303
Nov-10,Obama,Dem,J7MQ,S Alito,1.8167
Nov-10,Obama,Dem,J8MQ,A Scalia,2.5145
Nov-10,Obama,Dem,J9MQ,C Thomas,3.6037
Oct-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Oct-10,Obama,Dem,J2MQ,R Ginsburg,-1.731
Oct-10,Obama,Dem,J3MQ,E Kagan,-1.5824
Oct-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Oct-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Oct-10,Obama,Dem,J6MQ,J Roberts,0.9303
Oct-10,Obama,Dem,J7MQ,S Alito,1.8167
Oct-10,Obama,Dem,J8MQ,A Scalia,2.5145
Oct-10,Obama,Dem,J9MQ,C Thomas,3.6037
Sep-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Sep-10,Obama,Dem,J2MQ,R Ginsburg,-1.731
Sep-10,Obama,Dem,J3MQ,E Kagan,-1.5824
Sep-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Sep-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Sep-10,Obama,Dem,J6MQ,J Roberts,0.9303
Sep-10,Obama,Dem,J7MQ,S Alito,1.8167
Sep-10,Obama,Dem,J8MQ,A Scalia,2.5145
Sep-10,Obama,Dem,J9MQ,C Thomas,3.6037
Aug-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Aug-10,Obama,Dem,J2MQ,R Ginsburg,-1.731
Aug-10,Obama,Dem,J3MQ,E Kagan,-1.5824
Aug-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Aug-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Aug-10,Obama,Dem,J6MQ,J Roberts,0.9303
Aug-10,Obama,Dem,J7MQ,S Alito,1.8167
Aug-10,Obama,Dem,J8MQ,A Scalia,2.5145
Aug-10,Obama,Dem,J9MQ,C Thomas,3.6037
Jul-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Jul-10,Obama,Dem,J2MQ,,
Jul-10,Obama,Dem,J3MQ,R Ginsburg,-1.731
Jul-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Jul-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Jul-10,Obama,Dem,J6MQ,J Roberts,0.9303
Jul-10,Obama,Dem,J7MQ,S Alito,1.8167
Jul-10,Obama,Dem,J8MQ,A Scalia,2.5145
Jul-10,Obama,Dem,J9MQ,C Thomas,3.6037
Jun-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Jun-10,Obama,Dem,J2MQ,J P Stevens,-1.8098
Jun-10,Obama,Dem,J3MQ,R Ginsburg,-1.731
Jun-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Jun-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Jun-10,Obama,Dem,J6MQ,J Roberts,0.9303
Jun-10,Obama,Dem,J7MQ,S Alito,1.8167
Jun-10,Obama,Dem,J8MQ,A Scalia,2.5145
Jun-10,Obama,Dem,J9MQ,C Thomas,3.6037
May-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
May-10,Obama,Dem,J2MQ,J P Stevens,-1.8098
May-10,Obama,Dem,J3MQ,R Ginsburg,-1.731
May-10,Obama,Dem,J4MQ,S Breyer,-1.2332
May-10,Obama,Dem,J5MQ,A Kennedy,0.6823
May-10,Obama,Dem,J6MQ,J Roberts,0.9303
May-10,Obama,Dem,J7MQ,S Alito,1.8167
May-10,Obama,Dem,J8MQ,A Scalia,2.5145
May-10,Obama,Dem,J9MQ,C Thomas,3.6037
Apr-10,Obama,Dem,J1MQ,S Sotomayor,-2.6794
Apr-10,Obama,Dem,J2MQ,J P Stevens,-1.8098
Apr-10,Obama,Dem,J3MQ,R Ginsburg,-1.731
Apr-10,Obama,Dem,J4MQ,S Breyer,-1.2332
Apr-10,Obama,Dem,J5MQ,A Kennedy,0.6823
Apr-10,Obama,Dem,J6MQ,J Roberts,0.9303
Apr-10,Obama,Dem,J7MQ,S Alito,1.8167
