Month,President,Party,MQScore,Justice,Value
10-Dec,Obama,Dem,J1MQ,S Sotomayor,-2.6794
10-Dec,Obama,Dem,J2MQ,R Ginsburg,-1.731
10-Dec,Obama,Dem,J3MQ,[Clinton 3],-1.4821
10-Dec,Obama,Dem,J4MQ,[Clinton 4],-1.4821
10-Dec,Obama,Dem,J5MQ,S Breyer,-1.2332
10-Dec,Obama,Dem,J6MQ,J Roberts,0.9303
10-Dec,Obama,Dem,J7MQ,[GWBush 3],1.3735
10-Dec,Obama,Dem,J8MQ,[GWBush 4],1.3735
10-Dec,Obama,Dem,J9MQ,S Alito,1.8167
10-Nov,Obama,Dem,J1MQ,S Sotomayor,-2.6794
10-Nov,Obama,Dem,J2MQ,R Ginsburg,-1.731
10-Nov,Obama,Dem,J3MQ,[Clinton 3],-1.4821
10-Nov,Obama,Dem,J4MQ,[Clinton 4],-1.4821
10-Nov,Obama,Dem,J5MQ,S Breyer,-1.2332
10-Nov,Obama,Dem,J6MQ,J Roberts,0.9303
10-Nov,Obama,Dem,J7MQ,[GWBush 3],1.3735
10-Nov,Obama,Dem,J8MQ,[GWBush 4],1.3735
10-Nov,Obama,Dem,J9MQ,S Alito,1.8167
10-Oct,Obama,Dem,J1MQ,S Sotomayor,-2.6794
10-Oct,Obama,Dem,J2MQ,R Ginsburg,-1.731
10-Oct,Obama,Dem,J3MQ,[Clinton 3],-1.4821
10-Oct,Obama,Dem,J4MQ,[Clinton 4],-1.4821
10-Oct,Obama,Dem,J5MQ,S Breyer,-1.2332
10-Oct,Obama,Dem,J6MQ,J Roberts,0.9303
10-Oct,Obama,Dem,J7MQ,[GWBush 3],1.3735
10-Oct,Obama,Dem,J8MQ,[GWBush 4],1.3735
10-Oct,Obama,Dem,J9MQ,S Alito,1.8167
10-Sep,Obama,Dem,J1MQ,S Sotomayor,-2.6794
10-Sep,Obama,Dem,J2MQ,R Ginsburg,-1.731
10-Sep,Obama,Dem,J3MQ,[Clinton 3],-1.4821
10-Sep,Obama,Dem,J4MQ,[Clinton 4],-1.4821
10-Sep,Obama,Dem,J5MQ,S Breyer,-1.2332
10-Sep,Obama,Dem,J6MQ,J Roberts,0.9303
10-Sep,Obama,Dem,J7MQ,[GWBush 3],1.3735
10-Sep,Obama,Dem,J8MQ,[GWBush 4],1.3735
10-Sep,Obama,Dem,J9MQ,S Alito,1.8167
10-Aug,Obama,Dem,J1MQ,S Sotomayor,-2.6794
10-Aug,Obama,Dem,J2MQ,R Ginsburg,-1.731
10-Aug,Obama,Dem,J3MQ,[Clinton 3],-1.4821
10-Aug,Obama,Dem,J4MQ,[Clinton 4],-1.4821
10-Aug,Obama,Dem,J5MQ,S Breyer,-1.2332
10-Aug,Obama,Dem,J6MQ,J Roberts,0.9303
