Month,President,Party,MQScore,Justice,Value
20-Dec,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Dec,Trump,Rep,J2MQ,E Kagan,-1.5824
20-Dec,Trump,Rep,J3MQ,S Breyer,-1.2332
20-Dec,Trump,Rep,J4MQ,B Kavanaugh,0.5405
20-Dec,Trump,Rep,J5MQ,J Roberts,0.9303
20-Dec,Trump,Rep,J6MQ,N Gorsuch,0.9823
20-Dec,Trump,Rep,J7MQ,S Alito,1.8167
20-Dec,Trump,Rep,J8MQ,Barrett,2.5145
20-Dec,Trump,Rep,J9MQ,C Thomas,3.6037
20-Nov,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Nov,Trump,Rep,J2MQ,E Kagan,-1.5824
20-Nov,Trump,Rep,J3MQ,S Breyer,-1.2332
20-Nov,Trump,Rep,J4MQ,B Kavanaugh,0.5405
20-Nov,Trump,Rep,J5MQ,J Roberts,0.9303
20-Nov,Trump,Rep,J6MQ,N Gorsuch,0.9823
20-Nov,Trump,Rep,J7MQ,S Alito,1.8167
20-Nov,Trump,Rep,J8MQ,Barrett,2.5145
20-Nov,Trump,Rep,J9MQ,C Thomas,3.6037
20-Oct,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Oct,Trump,Rep,J2MQ,,
20-Oct,Trump,Rep,J3MQ,E Kagan,-1.5824
20-Oct,Trump,Rep,J4MQ,S Breyer,-1.2332
20-Oct,Trump,Rep,J5MQ,B Kavanaugh,0.5405
20-Oct,Trump,Rep,J6MQ,J Roberts,0.9303
20-Oct,Trump,Rep,J7MQ,N Gorsuch,0.9823
20-Oct,Trump,Rep,J8MQ,S Alito,1.8167
20-Oct,Trump,Rep,J9MQ,C Thomas,3.6037
20-Sep,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Sep,Trump,Rep,J2MQ,R Ginsburg,-1.731
20-Sep,Trump,Rep,J3MQ,E Kagan,-1.5824
20-Sep,Trump,Rep,J4MQ,S Breyer,-1.2332
20-Sep,Trump,Rep,J5MQ,B Kavanaugh,0.5405
20-Sep,Trump,Rep,J6MQ,J Roberts,0.9303
20-Sep,Trump,Rep,J7MQ,N Gorsuch,0.9823
20-Sep,Trump,Rep,J8MQ,S Alito,1.8167
20-Sep,Trump,Rep,J9MQ,C Thomas,3.6037
20-Aug,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Aug,Trump,Rep,J2MQ,R Ginsburg,-1.731
20-Aug,Trump,Rep,J3MQ,E Kagan,-1.5824
20-Aug,Trump,Rep,J4MQ,S Breyer,-1.2332
20-Aug,Trump,Rep,J5MQ,B Kavanaugh,0.5405
20-Aug,Trump,Rep,J6MQ,J Roberts,0.9303
20-Aug,Trump,Rep,J7MQ,N Gorsuch,0.9823
20-Aug,Trump,Rep,J8MQ,S Alito,1.8167
20-Aug,Trump,Rep,J9MQ,C Thomas,3.6037
20-Jul,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Jul,Trump,Rep,J2MQ,R Ginsburg,-1.731
20-Jul,Trump,Rep,J3MQ,E Kagan,-1.5824
20-Jul,Trump,Rep,J4MQ,S Breyer,-1.2332
20-Jul,Trump,Rep,J5MQ,B Kavanaugh,0.5405
20-Jul,Trump,Rep,J6MQ,J Roberts,0.9303
20-Jul,Trump,Rep,J7MQ,N Gorsuch,0.9823
20-Jul,Trump,Rep,J8MQ,S Alito,1.8167
20-Jul,Trump,Rep,J9MQ,C Thomas,3.6037
20-Jun,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-Jun,Trump,Rep,J2MQ,R Ginsburg,-1.731
20-Jun,Trump,Rep,J3MQ,E Kagan,-1.5824
20-Jun,Trump,Rep,J4MQ,S Breyer,-1.2332
20-Jun,Trump,Rep,J5MQ,B Kavanaugh,0.5405
20-Jun,Trump,Rep,J6MQ,J Roberts,0.9303
20-Jun,Trump,Rep,J7MQ,N Gorsuch,0.9823
20-Jun,Trump,Rep,J8MQ,S Alito,1.8167
20-Jun,Trump,Rep,J9MQ,C Thomas,3.6037
20-May,Trump,Rep,J1MQ,S Sotomayor,-2.6794
20-May,Trump,Rep,J2MQ,R Ginsburg,-1.731
20-May,Trump,Rep,J3MQ,E Kagan,-1.5824
20-May,Trump,Rep,J4MQ,S Breyer,-1.2332
20-May,Trump,Rep,J5MQ,B Kavanaugh,0.5405
20-May,Trump,Rep,J6MQ,J Roberts,0.9303
20-May,Trump,Rep,J7MQ,N Gorsuch,0.9823
20-May,Trump,Rep,J8MQ,S Alito,1.8167
