Month,President,Party,MQScore,Justice,Value
Dec-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Dec-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Dec-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Dec-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Dec-90,G H W Bush,Rep,J5MQ,B White,0.436
Dec-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Dec-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Dec-90,G H W Bush,Rep,J8MQ,[G H W Bush 2],1.4156
Dec-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
Nov-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Nov-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Nov-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Nov-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Nov-90,G H W Bush,Rep,J5MQ,B White,0.436
Nov-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Nov-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Nov-90,G H W Bush,Rep,J8MQ,[G H W Bush 2],1.4156
Nov-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
Oct-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Oct-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Oct-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Oct-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Oct-90,G H W Bush,Rep,J5MQ,B White,0.436
Oct-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Oct-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Oct-90,G H W Bush,Rep,J8MQ,[G H W Bush 2],1.4156
Oct-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
Sep-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Sep-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Sep-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Sep-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Sep-90,G H W Bush,Rep,J5MQ,B White,0.436
Sep-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Sep-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Sep-90,G H W Bush,Rep,J8MQ,[G H W Bush 2],1.4156
Sep-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
Aug-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Aug-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Aug-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Aug-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Aug-90,G H W Bush,Rep,J5MQ,B White,0.436
Aug-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Aug-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Aug-90,G H W Bush,Rep,J8MQ,[G H W Bush 2],1.4156
Aug-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
Jul-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Jul-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Jul-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Jul-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Jul-90,G H W Bush,Rep,J5MQ,B White,0.436
Jul-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Jul-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Jul-90,G H W Bush,Rep,J8MQ,W Brennan,1.7802
Jul-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
Jun-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
Jun-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
Jun-90,G H W Bush,Rep,J3MQ,D Souter,-0.7725
Jun-90,G H W Bush,Rep,J4MQ,H Blackmun,-0.0273
Jun-90,G H W Bush,Rep,J5MQ,B White,0.436
Jun-90,G H W Bush,Rep,J6MQ,A Kennedy,0.6823
Jun-90,G H W Bush,Rep,J7MQ,S D O'Connor,1.0147
Jun-90,G H W Bush,Rep,J8MQ,W Brennan,1.7802
Jun-90,G H W Bush,Rep,J9MQ,A Scalia,2.5145
May-90,G H W Bush,Rep,J1MQ,T Marshall,-2.8313
May-90,G H W Bush,Rep,J2MQ,J P Stevens,-1.8098
