Month,President,Party,MQScore,Justice,Value
Dec-20,Trump,Rep,J1MQ,S Sotomayor,-2.6794
Dec-20,Trump,Rep,J2MQ,[Obama 3],-2.1309
Dec-20,Trump,Rep,J3MQ,[Obama 4],-2.1309
Dec-20,Trump,Rep,J4MQ,E Kagan,-1.5824
Dec-20,Trump,Rep,J5MQ,J Roberts,0.9303
Dec-20,Trump,Rep,J6MQ,N Gorsuch,0.9823
Dec-20,Trump,Rep,J7MQ,GWBush 3,1.3735
Dec-20,Trump,Rep,J8MQ,GWBush 4,1.3735
Dec-20,Trump,Rep,J9MQ,S Alito,1.8167
Nov-20,Trump,Rep,J1MQ,S Sotomayor,-2.6794
Nov-20,Trump,Rep,J2MQ,[Obama 3],-2.1309
Nov-20,Trump,Rep,J3MQ,[Obama 4],-2.1309
Nov-20,Trump,Rep,J4MQ,E Kagan,-1.5824
Nov-20,Trump,Rep,J5MQ,J Roberts,0.9303
Nov-20,Trump,Rep,J6MQ,N Gorsuch,0.9823
Nov-20,Trump,Rep,J7MQ,[GWBush 3],1.3735
Nov-20,Trump,Rep,J8MQ,[GWBush 4],1.3735
Nov-20,Trump,Rep,J9MQ,S Alito,1.8167
Oct-20,Trump,Rep,J1MQ,S Sotomayor,-2.6794
Oct-20,Trump,Rep,J2MQ,[Obama 3],-2.1309
Oct-20,Trump,Rep,J3MQ,[Obama 4],-2.1309
Oct-20,Trump,Rep,J4MQ,E Kagan,-1.5824
Oct-20,Trump,Rep,J5MQ,J Roberts,0.9303
Oct-20,Trump,Rep,J6MQ,N Gorsuch,0.9823
Oct-20,Trump,Rep,J7MQ,[GWBush 3],1.3735
Oct-20,Trump,Rep,J8MQ,[GWBush 4],1.3735
Oct-20,Trump,Rep,J9MQ,S Alito,1.8167
Sep-20,Trump,Rep,J1MQ,S Sotomayor,-2.6794
Sep-20,Trump,Rep,J2MQ,[Obama 3],-2.1309
Sep-20,Trump,Rep,J3MQ,[Obama 4],-2.1309
Sep-20,Trump,Rep,J4MQ,E Kagan,-1.5824
Sep-20,Trump,Rep,J5MQ,J Roberts,0.9303
Sep-20,Trump,Rep,J6MQ,N Gorsuch,0.9823
Sep-20,Trump,Rep,J7MQ,[GWBush 3],1.3735
Sep-20,Trump,Rep,J8MQ,[GWBush 4],1.3735
Sep-20,Trump,Rep,J9MQ,S Alito,1.8167
Aug-20,Trump,Rep,J1MQ,S Sotomayor,-2.6794
Aug-20,Trump,Rep,J2MQ,[Obama 3],-2.1309
Aug-20,Trump,Rep,J3MQ,[Obama 4],-2.1309
Aug-20,Trump,Rep,J4MQ,E Kagan,-1.5824
Aug-20,Trump,Rep,J5MQ,J Roberts,0.9303
Aug-20,Trump,Rep,J6MQ,N Gorsuch,0.9823
Aug-20,Trump,Rep,J7MQ,[GWBush 3],1.3735
Aug-20,Trump,Rep,J8MQ,[GWBush 4],1.3735
Aug-20,Trump,Rep,J9MQ,S Alito,1.8167
Jul-20,Trump,Rep,J1MQ,S Sotomayor,-2.6794
Jul-20,Trump,Rep,J2MQ,[Obama 3],-2.1309
Jul-20,Trump,Rep,J3MQ,[Obama 4],-2.1309
