Album,Year,Side,Song,Lisa,Steven
A Hard Day's Night,1964,side one,A Hard day's Night,4,5
A Hard Day's Night,1964,side two,A Hard Day's Night (inst),0,0
Introducing the Beatles,1964,side two,A Taste of Honey,0,2
Meet the Beatles,1964,side one,All I've Got to Do,1,2
Meet the Beatles,1964,side one,All My Loving,0,0
A Hard Day's Night,1964,side two,And I Love Her,0,0
A Hard Day's Night,1964,side one,And I Love Her (inst),0,0
Introducing the Beatles,1964,side one,Anna (Go to Him),0,0
Introducing the Beatles,1964,side two,Baby It's You,0,0
Beatles '65,1965,side one,Baby's in Black,0,0
Beatles VI,1965,side one,Bad Boy,1,0
Introducing the Beatles,1964,side one,Boys,0,0
A Hard Day's Night,1964,side two,Can't Buy Me Love,0,0
Introducing the Beatles,1964,side one,Chains,3,0
Beatles VI,1965,side two,Dizzy Miss Lizzy,0,0
Introducing the Beatles,1964,side two,Do You Want to Know a Secret,0,0
Meet the Beatles,1964,side two,Don't Bother Me,1,0
Beatles VI,1965,side one,Eight Days a Week,2,0
Beatles VI,1965,side two,Every Little Thing,1,0
Beatles '65,1965,side two,Everybody's Trying to Be My Baby,1,2
Meet the Beatles,1964,side two,Hold Me Tight,0,0
Beatles '65,1965,side two,Honey Don't,0,0
Beatles VI,1965,side one,I Don't Want to Spoil the Party,0,0
Beatles '65,1965,side two,I Feel Fine,3,5
Introducing the Beatles,1964,side one,I Saw Her Standing There,4,1
Meet the Beatles,1964,side one,I Saw Her Standing There,4,2
A Hard Day's Night,1964,side two,I Should Have Known Better,3,6
A Hard Day's Night,1964,side one,I Should Have Known Better (inst),0,0
Meet the Beatles,1964,side two,I Wanna Be Your Man,0,0
Meet the Beatles,1964,side one,I Want to Hold Your Hand,5,6
Beatles '65,1965,side two,I'll Be Back,4,3
A Hard Day's Night,1964,side one,I'll Cry Instead,0,0
Beatles '65,1965,side one,I'll Follow the Sun,0,0
Beatles '65,1965,side one,I'm A Loser,3,4
A Hard Day's Night,1964,side one,I'm Happy Just to Dance with You,0,0
A Hard Day's Night,1964,side two,If I Fell,0,0
Meet the Beatles,1964,side one,It Won't Be Long,2,1
Beatles VI,1965,side one,Kansas City Hey-Hey-Hey-Hey,4,0
Meet the Beatles,1964,side two,Little Child,0,0
Introducing the Beatles,1964,side one,Love Me Do,0,1
Introducing the Beatles,1964,side one,Misery,0,0
Beatles '65,1965,side one,Mr. Moonlight,0,0
Beatles '65,1965,side one,No Reply,1,1
Meet the Beatles,1964,side two,Not a Second Time,0,0
Introducing the Beatles,1964,side two,P.S. I love You,0,3
A Hard Day's Night,1964,side two,Ringo's Theme (This Boy) (inst),0,0
Beatles '65,1965,side one,Rock and Roll Music,0,0
Beatles '65,1965,side two,She's a Woman,0,6
Beatles VI,1965,side two,Tell Me What You See,0,0
A Hard Day's Night,1964,side one,Tell Me Why,0,0
Introducing the Beatles,1964,side two,There's A Place,0,1
Meet the Beatles,1964,side one,This Boy,0,0
Meet the Beatles,1964,side two,Till There was You,0,0
Introducing the Beatles,1964,side two,Twist and Shout,2,0
Beatles VI,1965,side two,What You're Doing,3,5
Beatles VI,1965,side one,Words of Love,0,0
Beatles VI,1965,side two,Yes It Is,0,0
Beatles VI,1965,side one,You Like Me Too Much,0,0
