ColorGroup,HTMLName,Hex,RGB
Purple,LAVENDER,#E6E6FA,"RGB(230, 230, 250)"
Purple,THISTLE,#D8BFD8,"RGB(216, 191, 216)"
Purple,PLUM,#DDA0DD,"RGB(221, 160, 221)"
Purple,VIOLET,#EE82EE,"RGB(238, 130, 238)"
Purple,ORCHID,#DA70D6,"RGB(218, 112, 214)"
Purple,FUCHSIA,#FF00FF,"RGB(255, 0, 255)"
Purple,MAGENTA,#FF00FF,"RGB(255, 0, 255)"
Purple,MEDIUMORCHID,#BA55D3,"RGB(186, 85, 211)"
Purple,MEDIUMPURPLE,#9370DB,"RGB(147, 112, 219)"
Purple,REBECCAPURPLE,#663399,"RGB(102, 51, 153)"
Purple,BLUEVIOLET,#8A2BE2,"RGB(138, 43, 226)"
Purple,DARKVIOLET,#9400D3,"RGB(148, 0, 211)"
Purple,DARKORCHID,#9932CC,"RGB(153, 50, 204)"
Purple,DARKMAGENTA,#8B008B,"RGB(139, 0, 139)"
Purple,PURPLE,#800080,"RGB(128, 0, 128)"
Purple,INDIGO,#4B0082,"RGB(75, 0, 130)"
Purple,SLATEBLUE,#6A5ACD,"RGB(106, 90, 205)"
Purple,DARKSLATEBLUE,#483D8B,"RGB(72, 61, 139)"
Purple,MEDIUMSLATEBLUE,#7B68EE,"RGB(123, 104, 238)"
