ColorGroup,HTMLName,Hex,RGB
Yellow,GOLD,#FFD700,"RGB(255, 215, 0)"
Yellow,YELLOW,#FFFF00,"RGB(255, 255, 0)"
Yellow,LIGHTYELLOW,#FFFFE0,"RGB(255, 255, 224)"
Yellow,LEMONCHIFFON,#FFFACD,"RGB(255, 250, 205)"
Yellow,LIGHTGOLDENRODYELLOW,#FAFAD2,"RGB(250, 250, 210)"
Yellow,PAPAYAWHIP,#FFEFD5,"RGB(255, 239, 213)"
Yellow,MOCCASIN,#FFE4B5,"RGB(255, 228, 181)"
Yellow,PEACHPUFF,#FFDAB9,"RGB(255, 218, 185)"
Yellow,PALEGOLDENROD,#EEE8AA,"RGB(238, 232, 170)"
Yellow,KHAKI,#F0E68C,"RGB(240, 230, 140)"
Yellow,DARKKHAKI,#BDB76B,"RGB(189, 183, 107)"
